07-04-2026 14:32:30 | GET | cafeteria_api/produtos
07-04-2026 14:32:33 | GET | cafeteria_api/categorias
07-04-2026 14:33:40 | POST | cafeteria_api/categorias
07-04-2026 14:33:40 | GET | cafeteria_api/categorias
07-04-2026 14:33:54 | POST | cafeteria_api/categorias
07-04-2026 14:33:54 | GET | cafeteria_api/categorias
07-04-2026 14:58:59 | GET | cafeteria_api/produtos
07-04-2026 14:59:27 | GET | cafeteria_api/produtos
07-04-2026 14:59:28 | GET | cafeteria_api/produtos
07-04-2026 14:59:29 | GET | cafeteria_api/produtos
07-04-2026 14:59:30 | GET | cafeteria_api/categorias
